question,answer,source,focus_area
What is (are) Anxiety ?,"Anxiety is a feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat. It can be a normal reaction to stress. For example, you might feel anxious when faced with a difficult problem at work, before taking a test, or before making an important decision. It can help you to cope. The anxiety may give you a boost of energy or help you focus. But for people with anxiety disorders, the fear is not temporary and can be overwhelming.","MedlinePlus (NLM, public domain)",Anxiety
What is (are) Anxiety ?,"Anxiety disorders are conditions in which you have anxiety that does not go away and can get worse over time. The symptoms can interfere with daily activities such as job performance, schoolwork, and relationships.","MedlinePlus (NLM, public domain)",Anxiety
What is (are) Anxiety ?,"There are several types of anxiety disorders, including: • Generalized anxiety disorder (GAD). People with GAD worry about ordinary issues such as health, money, work, and family. But their worries are excessive, and they have them almost every day for at least 6 months. • Panic disorder. People with panic disorder have panic attacks. These are sudden, repeated periods of intense fear when there is no danger. The attacks come on quickly and can last several minutes or more. • Phobias. People with phobias have an intense fear of something that poses little or no actual danger. Their fear may be about spiders, flying, going to crowded places, or being in social situations (known as social anxiety).","MedlinePlus (NLM, public domain)",Anxiety
What causes Anxiety ?,"The cause of anxiety is unknown. Factors such as genetics, brain biology and chemistry, stress, and your environment may play a role.","MedlinePlus (NLM, public domain)",Anxiety
Who is at risk for Anxiety? ?,"The risk factors for the different types of anxiety disorders can vary. For example, GAD and phobias are more common in women, but social anxiety affects men and women equally. There are some general risk factors for all types of anxiety disorders, including: • Certain personality traits, such as being shy or withdrawn when you are in new situations or meeting new people • Traumatic events in early childhood or adulthood • Family history of anxiety or other mental disorders • Some physical health conditions, such as thyroid problems or arrhythmia","MedlinePlus (NLM, public domain)",Anxiety
What are the symptoms of Anxiety ?,"The different types of anxiety disorders can have different symptoms. But they all have a combination of: • Anxious thoughts or beliefs that are hard to control. They make you feel restless and tense and interfere with your daily life. They do not go away and can get worse over time. • Physical symptoms, such as a pounding or rapid heartbeat, unexplained aches and pains, dizziness, and shortness of breath • Changes in behavior, such as avoiding everyday activities you used to do Using caffeine, other substances, and certain medicines can make your symptoms worse.","MedlinePlus (NLM, public domain)",Anxiety
How to diagnose Anxiety ?,"To diagnose anxiety disorders, your health care provider will ask about your symptoms and medical history. You may also have a physical exam and lab tests to make sure that a different health problem is not the cause of your symptoms. If you don't have another health problem, you will get a psychological evaluation. Your provider may do it, or you may be referred to a mental health professional to get one.","MedlinePlus (NLM, public domain)",Anxiety
What are the treatments for Anxiety ?,"The main treatments for anxiety disorders are psychotherapy (talk therapy), medicines, or both: • Psychotherapy can help you recognize and change troubling emotions, thoughts, and behaviors. To be effective, it should focus on your specific anxieties and needs. There are many types; some of the types used for anxiety disorders include: • Cognitive behavioral therapy (CBT), which teaches you different ways of thinking and behaving. It can help you change how you react to the things that cause you to feel fear and anxiety. It may include exposure therapy. This therapy focuses on having you confront your fears so that you will be able to do the things that you had been avoiding. • Acceptance and commitment therapy may help with some anxiety disorders. It uses strategies such as mindfulness and goal setting to reduce discomfort and anxiety. • Medicines to treat anxiety disorders include anti-anxiety medicines and certain antidepressants. Some types of medicines may work better for specific types of anxiety disorders. You should work closely with your provider to identify which medicine is best for you. You may need to try more than one medicine before you can find the right one. Support groups and stress management techniques may also be helpful. NIH: National Institute of Mental Health","MedlinePlus (NLM, public domain)",Anxiety
What is (are) Phobias ?,"A phobia is a type of anxiety disorder. It is a strong, irrational fear of something that poses little or no real danger. There are many specific phobias. Acrophobia is a fear of heights. Agoraphobia is a fear of public places, and claustrophobia is a fear of closed-in places. If you become anxious and extremely self-conscious in everyday social situations, you could have a social phobia. Other common phobias involve tunnels, highway driving, water, flying, animals and blood. People with phobias try to avoid what they are afraid of. If they cannot, they may experience: • Panic and fear • Rapid heartbeat • Shortness of breath • Trembling • A strong desire to get away Phobias usually start in children or teens, and continue into adulthood. The causes of specific phobias are not known, but they sometimes run in families. Treatment helps most people with phobias. Options include medicines, therapy or both. NIH: National Institute of Mental Health","MedlinePlus (NLM, public domain)",Phobias
What is (are) Obsessive-Compulsive Disorder ?,"Obsessive-compulsive disorder (OCD) is a mental disorder in which you have thoughts (obsessions) and rituals (compulsions) over and over. They interfere with your life, but you cannot control or stop them.","MedlinePlus (NLM, public domain)",Obsessive-Compulsive Disorder
What causes Obsessive-Compulsive Disorder ?,"The cause of obsessive-compulsive disorder (OCD) is unknown. Factors such as genetics, brain biology and chemistry, and your environment may play a role.","MedlinePlus (NLM, public domain)",Obsessive-Compulsive Disorder
Who is at risk for Obsessive-Compulsive Disorder? ?,"Obsessive-compulsive disorder (OCD) usually begins when you are a teen or young adult. Boys often develop OCD at a younger age than girls. Risk factors for OCD include: • Family history. People with a first-degree relative (such as a parent, sibling, or child) who has OCD are at higher risk. This is especially true if the relative developed OCD as a child or teen. • Brain structure and functioning. Imaging studies have shown that people with OCD have differences in certain parts of the brain. Researchers need to do more studies to understand the connection between the brain differences and OCD. • Childhood trauma, such as child abuse. Some studies have found a link between trauma in childhood and OCD. More research is needed to understand this relationship better. In some cases, children may develop OCD or OCD symptoms following a streptococcal infection. This is called Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections (PANDAS).","MedlinePlus (NLM, public domain)",Obsessive-Compulsive Disorder
What are the symptoms of Obsessive-Compulsive Disorder ?,"People with OCD may have symptoms of obsessions, compulsions, or both: • Obsessions are repeated thoughts, urges, or mental images that cause anxiety. They may involve things such as • Fear of germs or contamination • Fear of losing or misplacing something • Worries about harm coming towards yourself or others • Unwanted forbidden thoughts involving sex or religion • Aggressive thoughts towards yourself or others • Needing things lined up exactly or arranged in a particular, precise way • Compulsions are behaviors that you feel like you need to do over and over to try to reduce your anxiety or stop the obsessive thoughts. Some common compulsions include • Excessive cleaning and/or handwashing • Repeatedly checking on things, such as whether the door is locked or the oven is off • Compulsive counting • Ordering and arranging things in a particular, precise way Some people with OCD also have Tourette syndrome or another tic disorder. Tics are sudden twitches, movements, or sounds that people do over and over. People who have tics cannot stop their body from doing these things.","MedlinePlus (NLM, public domain)",Obsessive-Compulsive Disorder
How to diagnose Obsessive-Compulsive Disorder ?,"The first step is to talk with your health care provider about your symptoms. It's important to check whether a physical problem is causing your symptoms. So your provider will do a physical exam and will ask you about your medical history. If your symptoms do not seem to be caused by a physical problem, your provider may do an OCD test or may refer you to a mental health specialist for further evaluation or treatment. Obsessive-compulsive disorder (OCD) can sometimes be hard to diagnose. Its symptoms are like those of other mental disorders, such as anxiety disorders. It is also possible to have both OCD and another mental disorder. Not everyone who has obsessions or compulsions has OCD. Your symptoms would usually be considered OCD when you: • Can't control your thoughts or behaviors, even when you know that they are excessive • Spend at least 1 hour a day on these thoughts or behaviors • Don't get pleasure when performing the behaviors. But doing them may briefly give you relief from the anxiety. • Have significant problems in your daily life because of these thoughts or behaviors","MedlinePlus (NLM, public domain)",Obsessive-Compulsive Disorder
What are the treatments for Obsessive-Compulsive Disorder ?,"The main treatments for obsessive-compulsive disorder (OCD) are cognitive behavioral therapy, medicines, or both: • Cognitive behavioral therapy (CBT) is a type of psychotherapy. It teaches you different ways of thinking, behaving, and reacting to your obsessions and compulsions. • Exposure and Response Prevention (ERP) s a specific type of CBT. ERP involves gradually exposing you to your fears or obsessions. You learn healthy ways to deal with the anxiety they cause. • Medicines for OCD include certain types of antidepressants. If those don't work for you, your provider may suggest taking some other type of psychiatric medicine. If you have severe OCD that does not get better with these treatments, your provider may suggest a treatment called repetitive transcranial magnetic stimulation (rTMS). It is a brain stimulation procedure that uses magnetic waves. It can target specific brain areas associated with OCD. NIH: National Institute of Mental Health","MedlinePlus (NLM, public domain)",Obsessive-Compulsive Disorder
What is (are) Panic Disorder ?,"Panic disorder is a type of anxiety disorder. It causes repeated panic attacks, which are sudden periods of intense fear, discomfort, or a sense of losing control. These attacks happen even though there is no real danger. They often cause physical symptoms. For example, you may have a rapid or pounding heartbeat and feel like you are having a heart attack. If you have panic attacks, it doesn't mean you will develop a panic disorder. Many people only have one or two panic attacks in their lifetime and get better without treatment. But some of the people who have panic attacks do develop panic disorder. They have repeated panic attacks. The attacks can happen as often as several times a day or as rarely as a few times a year. People with panic disorder often worry about having another attack. It may cause them to avoid places and situations where they had panic attacks in the past. Panic disorder is not life-threatening, but it can be upsetting and affect your quality of life. And if it is not treated, it can sometimes lead to other health conditions, including depression and substance use disorders.","MedlinePlus (NLM, public domain)",Panic Disorder
What causes Panic Disorder ?,The cause of panic disorder is unknown. Researchers think that certain factors may play a role: • Genetics - panic disorder sometimes runs in families. But no one knows for sure why some family members have it while others don't. • Brain biology and chemistry. • Your environment. • Major stress.,"MedlinePlus (NLM, public domain)",Panic Disorder
What is (are) Panic Disorder ?,"Panic disorder is more common in women than men. It often starts in the late teens or early adulthood. Sometimes it starts when a person is under a lot of stress. People who have had trauma, especially in childhood, are more likely to develop panic disorder.","MedlinePlus (NLM, public domain)",Panic Disorder
What are the symptoms of Panic Disorder ?,"People with panic disorder may have: • Sudden and repeated panic attacks of overwhelming anxiety and fear • A feeling of being out of control or a fear of death during a panic attack • An intense worry about another panic attack • A fear or avoidance of places and situations where they had panic attacks in the past • Physical symptoms during a panic attack, such as: • Pounding or racing heart • Sweating or chills • Trembling or shaking • Trouble breathing • The feeling that they are choking • Weakness or dizziness • Chest pain • Stomach pain or nausea Panic attacks can happen anytime, without warning. They can last anywhere from a few minutes to over an hour.","MedlinePlus (NLM, public domain)",Panic Disorder
How to diagnose Panic Disorder ?,"To find out if you have panic disorder, your health care provider: • Will ask about your medical history and symptoms • May check if an unrelated physical problem is causing your symptoms, for example with: • A physical exam • Blood tests to check for thyroid problems and other possible conditions • Heart health tests • May do a panic disorder test • May refer you to a mental health provider for the panic disorder test or other types of psychological evaluations","MedlinePlus (NLM, public domain)",Panic Disorder
What are the treatments for Panic Disorder ?,"Treatment for panic disorder usually includes one or more of the following: • Talk therapy, also called psychotherapy or counseling, which can help you understand your feelings. • It may include cognitive-behavioral therapy (CBT), a type of talk therapy that helps you change your negative thoughts and how you react to things that cause you to feel anxiety. • Medicines, including: • Antidepressants, such as selective serotonin reuptake inhibitors (SSRIs) and serotonin-norepinephrine reuptake inhibitors (SNRIs) • Anti-anxiety medicines Your provider may also suggest that you follow a healthy lifestyle, which may help with panic disorder. It may include: • Avoiding alcohol • Reducing caffeine • Eating regular meals • Getting enough sleep • Getting regular exercise Joining a support group may also be helpful. Support groups can make you feel like you are not alone, and you may learn some new tips on how to cope. NIH: National Institute of Mental Health","MedlinePlus (NLM, public domain)",Panic Disorder
What is (are) Bullying and Cyberbullying ?,"Bullying is when a person or group repeatedly harms someone on purpose. It can be physical, social, and/or verbal. It is harmful to both the victims and the bullies, and it always involves: • Aggressive behavior. • A difference in power, meaning that the victim is weaker or is seen as weaker. For example, bullies may try to use physical strength, embarrassing information, or popularity to harm others. • Repetition, meaning it happens more than once or that it probably will happen again","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"There are three types of bullying: • Physical bullying involves hurting a person's body or belongings. Examples include hitting, kicking, and stealing or breaking someone's stuff. • Social bullying (also called relational bullying) hurts someone's reputation or relationships. Some examples are spreading rumors, embarrassing someone in public, and making someone feel left out. • Verbal bullying is saying or writing mean things, including name-calling, taunting, and threatening","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"Cyberbullying is bullying that happens through text messages or online. It could be through emails, social media, forums, or gaming. Some examples are: • Posting rumors on social media • Sharing embarrassing pictures or videos online • Sharing someone else's private information online (doxing) • Making threats against someone online • Creating fake accounts and posting information to embarrass someone Certain types of cyberbullying can be illegal. The laws on cyberbullying are different from state to state.","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"Cyberbullying is a type of bullying, but there are some differences between the two. Cyberbullying can be: • Anonymous - people can hide their identities when they are online or using a cell phone • Persistent - people can send messages instantly, at any time of the day or night • Permanent - a lot of electronic communication is permanent and public, unless it's reported and removed. A bad online reputation can affect getting into college, getting a job, and other areas of life. This applies to the bully as well. • Hard to notice - teachers and parents may not overhear or see cyberbullying taking place","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"Children are more likely to be bullied if they: • Are seen as different from their peers, such as being overweight or underweight, dressing differently, or being of a different race/ethnicity • Are seen as weak • Have depression, anxiety, or low self-esteem • Don't have many friends or are less popular • Don't socialize well with others • Have an intellectual or developmental disability","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"There are two types of children who are more likely to bully others: • Children who are well-connected to peers, have social power, are overly worried about popularity, and like to be in charge of others • Children who are more isolated from peers, may be depressed or anxious, have low self-esteem, are easily pressured by peers, and have trouble understanding other people's feelings There are certain factors that make someone more likely to be a bully. They include: • Being aggressive or easily frustrated • Having trouble at home, such as violence or bullying in the home or having uninvolved parents • Having trouble following rules • Seeing violence positively • Having friends who bully others","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"Bullying is a serious problem that causes harm. And it doesn't just hurt the person who is being bullied; it can also be harmful for the bullies and for any kids who witness the bullying. Kids who are bullied can have problems at school and with their mental and physical health. They are at risk for: • Depression, anxiety, and low self-esteem. These problems sometimes last into adulthood. • Health complaints, including headaches and stomachaches • Lower grades and test scores • Missing and dropping out of school Kids who bully others have a higher risk for substance use, problems in school, and violence later in life. Kids who witness bullying are more likely to abuse drugs or alcohol and have mental health problems. They may also miss or skip school.","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What are the symptoms of Bullying and Cyberbullying ?,"Often, kids who are being bullied don't report it. They may fear a backlash from the bully, or they may think that no one cares. Sometimes they feel too ashamed to talk about it. So it is important to know the signs of a bullying problem: • Depression, loneliness, or anxiety • Low self-esteem • Headaches, stomachaches, or poor eating habits • Disliking school, not wanting to go to school, or getting worse grades than before • Self-destructive behaviors, such as running away from home, harming themselves, or talking about suicide • Unexplained injuries • Lost or destroyed clothing, books, electronics, or jewelry • Trouble sleeping or frequent nightmares • Sudden loss of friends or avoidance of social situations","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
What is (are) Bullying and Cyberbullying ?,"To help a child who is being bullied, support the child and address the bullying behavior: • Listen and focus on the child. Learn what's been going on and show you want to help. • Assure the child that bullying is not his/her fault • Know that kids who are bullied may struggle with talking about it. Consider referring them to a school counselor, psychologist, or other mental health service. • Give advice about what to do. This may involve role-playing and thinking through how the child might react if the bullying occurs again. • Work together to resolve the situation and protect the bullied child. The child, parents, and school or organization should be part of the solution. • Follow up. Bullying may not end overnight. Make sure that the child knows that you are committed to making it stop. • Make sure that the bully knows that his or her behavior is wrong and harms others • Show kids that bullying is taken seriously. Make it clear to everyone that the bullying will not be tolerated. Department of Health and Human Services","MedlinePlus (NLM, public domain)",Bullying and Cyberbullying
